,平台,情感短语,用户印象
87,小牛在线,"[[['发现自动续投的问题']], [['搞不起活动', '想不花钱', '刷数据', '是雪亮', '建议你妹以后不要开', '开平台', '爆出刷数据的问题', '刷数据', '刷数据']], [['解绑银行卡那么简单的话', '盗取你的账号密码', '是直接就绑', '绑上他自己的卡'], ['是成年人', '用点脑子'], ['记住我们的目的是', '是赚钱', '是来耍', '耍小孩子脾气']], [['知道你们为何很慢']], [['没有标可投'], ['为之']], [['发展挺快的P2P平台']], [['就是利息比较低']], [['多了十万'], ['还有八万放在', '收利息'], ['说只有在提现的时候才扣', '回本金'], ['谢谢小牛在线老板']], [['感觉还可以', '是人气不高', '没有了排名']], [['还是这种平台靠谱']], [['打过电话']], [], [['有急事', '想要找', '找客服', '拨打3次后放弃'], ['输入账户信息', '提示没有注册'], ['确认鉴权信息', '提示：“信息有', '有误联系', '联系客服', '提示tbee8'], ['选择放弃', '放弃开户', '谈理财道路']], [], [['是1个月的14-15点标', '标完成', '完成直接换', '成24个月的标', '掉坑', '收很高的转让费', '赚这个黑心钱']], [['看我平台投诉帖子http://www.p2peye.com/thread-312377-1-1.html']], [['到账']], [['更新啥', '看见账户有', '有资产总额', '看评论', '有人变成', '变成年标']], [['没有银行存管'], ['跟不上大趋势']]]","['银行卡简单', '平台快', '利息低', '人气高', '转让费高', '趋势大']"
88,爱投金融,"[[['算是给我养成', '养成了一个好习惯']], [['感觉还行']], [['收回投资', '希望爱投金融能持续稳健发展', '选择好债权', '做好风控', '回报客户']], [['看着收益在涨真的挺开心', '买余额宝', '是个好平台']], [['听朋友强烈推荐去的爱投金融投资']], [['是我生平第一次投的P2P', '投P2P', '是因为不了解', '了解这个行业和公司的诚信']], [['回款', '到账', '近乎完美', '有待观察']], [['设定自动复投']], [['显示投资标的']]]","['习惯好', '债权好', '收益真', '平台好', '朋友强烈']"
89,圣贤财富,"[[['有活动让利'], ['望能坚持', '备案那天', '让投资人长期依赖', '满意合作']]]",[]
90,小微易贷,"[[['想你'], ['是什么的时候才肯睡觉']]]",[]
91,钱哆拉,"[[['有点不放心']], [['就是标的信息不透明', '借钱']], [['还是蛮高', '希望贵平台越做']]]","['信息透明', '平台贵']"
92,智佳金服,"[[['回款一段时间', '是新浪支付', '支付托管', '值得推荐', '打算再小投', '投一笔'], ['开始投', '是新成立不久的平台', '查相关信息']], [['上了银行存管']], [['用代金券', '是免费']], [['赶上平台活动', '上线']]]",[]
93,e资产,"[[['跑路', '能怎样'], ['奉劝各位投资者耐住寂寞忍', '忍住诱惑', '看看这个2000万的标的到期', '会怎样']]]",['投资者寂寞']
94,才米公社,"[[['出现过资金退不出来的情况', '提现几分钟', '到账', '没有手续费']]]",[]
95,壹心贷,"[[['投资这家平台']], [], [['是工作的重中之重', '保证资金安全', '压缩坏账率', '回馈投资人'], ['注重用户体验', '维护我们投资人的切身利益']], [['收到回款', '提前还款', '有信', '还有加息券发放']], [['还有额外加息奖励', '是返现', '有态度']], [['有著名学者说', '说过：“内在的吸引力可以让', '让产品、思想或者服务在众多竞争对手中脱颖而出'], ['就是最好的诠释', '发展有条不紊', '投资收益', '是有目共睹'], ['祝红红火火']], [['是一个字：6666666666有投资疑问的时候联系', '有投资疑问', '联系客服', '没有我活的体验']], [['是很信任', '信任这个平台', '扎根”这里', '带来巨大的金融想象', '建议平台完善', '完善自身平台技术挖掘', '是互金的IQ能够有', '有萝莉辅助工具']], [['是主做保证金的贷款', '主做保证金', '是这些产品', '逾期还款'], ['做企业真的很不容易', '帮助有', '有需要的建工企业融资', '能收益', '算一箭双雕']], [], [['查看收益']], [['带来了收益', '加成熟', '建议平台不断完善', '积累经验', '打造一个完整的平台生态链']], [['出现资金站岗的情况'], ['没有逾期现象出现', '有适合的标的专职客服', '提醒复投', '盘活平台']], [['使用了不少加息券', '有计划地分割', '留足投资的钱', '能使用券']], [['看了平台的官网设计', '系背景', '还有保险承保和风控团队', '披露和待收总额都很透明地展示', '投了13%年化的新手标']], [['投了30多个标', '没有逾期还款', '提前还款']]]","['资金安全', '学者著名', '金融巨大', '企业真', '平台完整', '总额透明']"
96,麦子金服财富,"[[], [['建议上能随意', '值得大家去投']], [['是返利网推', '有奶', '便是娘']], [['讲信用', '做活动']], [['到账']], [['是财神爷爷和麦子金服合并起来的数字'], ['好像蛮漂亮', '是秒到']], [['算是拜拜']], [['要求P2P平台禁止', '禁止一切形式的债权转让活动', '包括出借人之间的债权转让']], [['投债权标', '打到我的银行卡上']], [['说是', '是老平台']], [['接到02160617166诺诺镑客电话360助手提示', '提示炸骗', '服用手机', '问我是', '是怎么注册的我说', '说就这样吧请', '请挂机', '骂人我挂了更气愤的是', '是他竟然吧我的信息挂', '挂在其他平台留言', '说要贷款请', '要贷款', '请回', '回电', '还有乱七八糟的网', '问我需要', '投资多少钱', '是报复性的骚扰']], [['毫无诚信的平台', '建议大家去投资']], [['看不到银行页面', '知道为什么黑子总要黑', '希望麦子也要自己做好', '做好细节']], [['赚到了盆满意足']], [['整麦子', '证明什么叫', '叫诚信', '没有负面舆论说', '说跑路', '跑路', '比起来麦子', '是好平台'], ['是有', '有诚信的人'], ['支持麦子']], [['砍头息', '转3000元', '收取了500元手续费', '还一分钱利息'], ['冻结投资人资金', '让提现']], []]","['平台老', '人气愤', '平台诚信', '黑子黑', '平台好', '人诚信']"
97,阳光钱包,[[['没有手机APP']]],[]
98,方橙式,"[[['出过岔子'], ['响应政策启动', '启动了银行存管', '给赞'], ['看到了多给', '给我几张代金券哈']]]",[]
99,财富星球,"[[], [['期待早日签', '存管']], [['还是有的', '是那回复速度和漫不经心的态度实在让', '让人无法感觉', '感觉到客服存在的意义'], ['发表言论'], ['体验这点上', '拿热脸', '贴冷屁股']], [['适合新手']], [['开发了Y计划', '有那功夫']]]","['脸热', '屁股冷']"
100,佰亿猫,"[[['说平台好', '是托']], [['送50投资券', '写清楚规则', '混淆投资券和红包的概念', '等你投资', '告诉你，50的投资券不能提', '提50元产生的利息'], ['是小号', '问自答', '说自话'], ['有质疑', '质疑声音', '骂投资人'], ['是太阳打', '打西边']]]","['平台好', '规则清楚']"
101,众金在线,"[[['还是比较稳定'], ['压倒一切']]]",[]
102,普资金服,"[[['发现有', '有什么问题', '但愿平台能安全地稳步向前发展']]]",['平台安全']
103,达人贷,"[[], [['没有注销功能']]]",[]
104,网信普惠,"[[['是个老平台'], ['上市加风', '加北京互金协会副会长成色'], ['有保险等其他品种', '是综合性理财平台'], ['看利息', '有着一定差距']], [], [['有3天', '满标但', '开始放款计息', '开始计', '计息']]]","['平台老', '标满']"
105,2025金融理财,"[[['还是小心点', '上车']], [['没有新手红包']]]",[]
106,一起好,"[[['是秒杀'], ['是,诡异'], ['体验标限额1000元', '收取利息所得', '作为利息管理费']], [['有上市公司风投'], ['有ICP', '有存管']], [['是从一个专栏评论里认识', '认识这个平允', '观察它有', '有一段时间']], [['有两年']]]",[]
107,互惠理财,"[[['是怎么处理', '是强制收取']], [['披露未更新', '就是审计报告到现在都没有上传'], ['是没有', '没有维护人员']]]",[]
108,钱吧,[[]],[]
109,粤商贷,"[[['让人觉得', '觉得值得', '值得信赖', '发现一个好平台不容易']], [['知道并投的粤商贷', '开始投', '投买', '买长期']]]",['平台好']
110,53财服,"[[], []]",[]
111,招商贷,"[[['要求披露', '披露借款人信息', '有可能自融']], [], [['上银行存管', '说假话', '说是', '是上', '上了银行', '说是', '是2016年就和贵阳银行达成', '达成协议']]]",[]
112,农信商贷,[[['是个小而美的平台']]],['平台小']
113,四海众投,"[[['看朋友投资', '投资过网贷平台', '推荐了这家平台', '是国资系'], ['选了新手标和优质项目里面的机构担保贷', '还有一期是', '是提前', '提前还款']]]",[]
114,付融宝,"[[['没有接', '看可用资金', '还是哪个数']], [['让人放心']], [['是这个月怎么平台排名降', '降了10多名']], [['体现秒', '没啥乱七八糟的收费']], [['会这样子']], [['是一个套', '但愿不是']], [['投P2P', '选择了付融宝', '是个很不错的平台']], [['听说上市公司要入', '入驻'], ['请解答']], [['分节假日']]]",['平台不错']
115,527金融,"[[['需要下周一到', '到账']]]",[]
116,蓝鲸金融,[[]],[]
117,天涯好收益,"[[['投个鸟']], [['没有返利'], ['没有失误']], [['知道好收益', '是在'], ['到帐', '到卡'], ['扣了两元手续费']], [['注册了天涯好收益', '投91天一万元', '知道我的返利无效', '是我18年1月已经注册', '注册了天涯好收益'], ['还是很好', '得到解决'], ['想到10:50打', '打完电话', '到账'], ['是做人之根本'], ['是无价'], ['值得信赖'], ['介绍了我家人和亲朋也是', '是通过之家返利渠道注册', '投资了天涯好收益'], ['致以谢意']]]",['收益好']
118,金储宝,"[[['希望平台多出', '出点', '准备些购物卡什么']], [['发生资金站岗']], [['没有手续费', '反映平台实力强']], [['提下午']], [['还是挺出名']], [['放金储宝', '是平衡']], [['是小笔小笔在投', '提现费']], [['算比较满意', '觉得还是', '还是满适合', '适合做', '做长期投资']], [['返京东卡', '顶一个']], [['报道A轮融资发布会']]]","['平台多', '平台强', '小笔小']"
119,浩森金融,[[['接触这家平台']]],[]
120,理想宝,"[[['遇到客服态度这么差', '问东答西', '咨询客服', '让自己看', '说可以选择']], [['有实力']], [['有活力']], [], [['加大投']], [['是什么情况']]]",['态度差']
121,宝点网,"[[['上线四年的宝点网', '是比较不错', '是看上', '看上了平台的资历比较老', '过来了解', '看到有', '有人说', '说宝点网的体验', '是看', '看在平台获得', '获得过风投', '还有就是', '是5亿的担保公司', '感觉安全保障还是', '还是比较好', '说暂时投资的话还是希望', '希望有点不错的收益']], [['领养过熊猫']], [['成比例', '算是一家老平台']], [], [], []]","['平台老', '收益不错', '平台老']"
122,白菜金融,"[[['有懂得', '懂得帮忙']], [['是一个排名靠前的平台，服务和体现都还算', '算让', '让人满意', '就是利息有', '有点低']], [['讲车贷']], [], [['说老总给', '给补']], [], []]",[]
123,玖融网,"[[['发现害', '见过这么水的平台']]]",[]
124,红岭创投,"[[['相信红岭']], [['希望一直好']], [], [['退出网贷市场']], [['有一阵子', '有标', '耽误事'], ['有朋友在其他平台上投', '听说也不错']], [['知道该不该继续'], ['还是之前闹的太飞扬']], [], [['是利率太低']], [['就是地产大标多', '推出点1-3月的标', '是很安全', '是在年底左右到明年有', '有大量的快借', '借到期']], [['提现满块']], [], [['值得信赖', '带领红岭扬帆']], [['是如日中天', '希望别再有', '有大额坏账风波']], [['超过平台']], [], []]","['利率低', '地产大', '块满']"
125,华舵金服,[[]],[]
126,洋葱先生,"[[['还是蛮高']], [['就是利息低']]]",['利息低']
127,短融网,"[[['有一笔资金回款', '回了一张加息券', '有前途']], [['感觉平台挺靠谱', '算高', '是次日计息']], [['为之']], [['上市背景系车贷平台安全第一', '合规']]]","['平台靠谱', '背景安全']"
128,现代众车在线,"[[['投资了现代众车在线', '存钱', '买东西']], [['使用说明', '请问送', '送大额红包', '有什么用'], ['回答会员的问题']], [['没毛病', '收利息管理费']], [['用了一个月新手标']]]",[]
129,星月创投,[[['有债']]],[]
130,椰子理财,[[['还有较丰厚的活动收益']]],['收益丰厚']
131,前海惠农,"[[['开始投'], ['希望平台能稳健发展'], ['让我们投资者和前海惠农一起加油']], [['读懂平台', '没有投资哪来的返利.', '看懂', '懂再投资']], [], [], [['进了网贷之家11月排名', '排名百强榜'], ['有不少差距', '希望前海惠农能百尺竿头']], [['是比较快']]]",['平台稳健']
132,向上金服,"[[['是看不到', '看不到存管'], ['希望尽快上', '上存管']], [['收到客服打来的服务电话', '介绍了当下比较火的产品']], [['表现大气', '有卓越见识', '有希望']], [['是个好平台', '算高', '让我很满意', '让我失望', '支持你们']], [], [['还是比较及时']], [['投了向上金服', '希望平台年底都稳稳']], [['希望越办']], [['靠前', '感到高兴']], [['收到验证码']], [['没有银行存管电视剧里都是', '是你的广告']], [], [['没有任何通知', '锁住个人账号', '出了问题利息', '返多了要求', '要求客户返还', '锁住账号', '让提现', '提现这种大批量', '返现错误', '说明平台有', '有很大问题', '是非法行为']], [['支付宝强']], [['是当天到', '到账']], [['有一定实力老平台', '就是没上', '上银行存管']]]","['产品火', '见识卓越', '平台好', '平台稳', '要求多', '问题大', '实力老']"
133,乾贷网,[[['是风险把控']]],[]
134,开鑫贷,"[[['了解开鑫贷', '感觉安全性较好', '撤部分', '是开鑫贷利率低']], [['是玩']], [['投资本金', '是看', '看行情', '有风险']], [['值得老百姓信赖', '投了一年的标']], []]","['安全性好', '利率低']"
135,玺欢钱,"[[['喜欢这个平台', '没有其他平台'], ['看稳定', '是次要']]]",[]
136,车易贷,"[[['是安全誠信為第一平台都做到', '是經得起', '經得起考驗', '是當天到帳這點也很讓人滿意看', '看了很多評論不外乎質疑平台的透明度', '得到平台的認真', '與誠信']], [['是快速热情', '提供最好的服务', '感觉公司的气氛非常不错', '像一个大家庭', '是个踏实', '达成战略合作', '还是个规模尚小的公司', '相比那些心浮气躁', '讲扩张', '欣赏车易贷']], [['多10几万', '是很早就到', '到平台个人账户', '提现续', '作为抵押物借款方', '具有很大的优势'], ['查询真实存在'], ['给个好评']]]","['誠信安全', '帳這點讓人', '公司不错', '规模小', '气心浮', '优势大']"
137,沙小僧,"[[['赶上加息活动']], [], [['叫沙小僧', '进行过资金存管业务']]]",[]
138,牛板金,"[[], [['是赎', '有点慢']]]",[]
139,看看钱包,"[[['投了很多平台', '是最快', '为每一个投资人解答', '解答问题', '问不厌', '厌为投资人服务', '希望我的这个反馈能给真正投资人带来', '带来安全的讯息']], [['是5个月前投的看看钱包', '投了几次月标', '用了投资券', '介绍了个朋友过来', '还是比较平均']]]",['讯息安全']
140,人人聚财,"[[['拿监管备案的幌子', '伤害投资者', '为上策']], [['说送', '送京东卡', '没反应', '咨询客服', '就是推脱']], [['恭喜贺喜', '让单天成交金额从36W涨'], ['希望dang员继续']], [['是会员', '兑换了一些礼品']], [['改规则', '毫无诚信', '成2021年', '还要千5的手续费']], [['做活动', '说投', '投一个月增值', '收到他们的增值返现']], [['无语评价', '是伤', '伤了不少投友心', '出羊毛', '有这运作资金为啥不去补偿', '补偿一下老客户']], [], [['知道怎么办']], [['反厉害', '知道拉', '拉多少']], [['害人害', '害己']], [['希望第一批通过', '通过备案']], [['成散标', '付出沉重代价']]]","['客户老', '代价沉重']"
141,兆金所,"[[['是吸引', '吸引本地老年人投资']], []]",[]
142,森昊好时贷,"[[['发挥了小额分散的原理'], ['希望能一直保持']]]",['小额分散']
143,沪商财富,"[[['让人蛋痛的卡'], ['收到就是', '就是APP一直卡', '出下一页'], ['放弃绑卡'], ['打算先投', '投个小几万'], ['投了别的平台']], [['算满意', '披露实缴', '看看自动投资', '是四位数', '说明是', '是一个小小平台'], ['是自动标'], ['披露找到', '找到累计投资额', '看到注册人数', '担心抗风险能力低', '抗风险']]]","['人蛋痛', '风险低']"
144,苏宁金融,"[[['是p2p'], ['以为不是', '是p图p'], ['上了网贷之家', '觉得不安全']], [['算P2P的话', '有钱', '买国米', '买巨星']], [['不知是', '是什么原因', '冻结了用户的账户'], ['是什么意思'], ['出现过这种情况'], ['是怎么回事']]]",[]
145,团贷网,"[[['投资团贷', '祝备案']], [['让人感觉']], [['适合长期投资', '有许多小红包包']], [], [['是在返利网上看到']], [['希望利率不要再降', '投团贷']], [['有比较短期的标符合胃口', '希望越来越好']], [['是周五申请', '申请提现', '是周一上午到', '到账', '需要付费', '有送', '送现金', '卷啥']], [['看在有', '有红包', '充了4万', '抢不到标', '不知要站岗']], [['要本金'], ['是1月标', '减少了1.8%']], [['希望进一步增加', '增加合规度']], [['买理财', '选靠谱', '有银行托管', '说明比较稳定'], ['感觉这里不错']], [['超過了收入'], ['知道錢從', '錢從哪裡賺', '賺回來', '是有', '有點擔心']], [['有参与', '满足我不同的投资需求']], [], [['是很高', '到账', '是挺满意']], [['是机票扣', '扣款'], ['没有第三方托管', '扣款']], [['为小微企业贷款']], [['看到团贷', '参加互金协会的培训', '让人放心']], [['觉得很不错']], [], [['提前还款', '借天数', '打乱了投资计划']], [['说雷', '继续努力']], [['需要手续费有', '有点挫']], [['就是提现']], [['发布了资产标', '提前到期', '说一个星期内不还款', '扣款']], [['等着系统', '等于资金还要站岗']], [['到账', '返现红包', '超过13']], [['没有标'], ['浪费时间'], ['后悔注册'], ['没有标', '搞活动']], [['还是不错', '相信唐总', '相信团贷网']], [], [], [['希望团贷稳健发展', '通过备案']], [['排名40', '感觉团贷网这么大平台', '进入前20', '让广大投资者信服']], [['希望早点备案', '让小主们安心投资']], [['给三次提现机会', '感觉提现的手续费有点高']], [], [['看着加息活动挺诱人', '等着投资', '显示处理中', '是眨眼之间就没有', '没有了是', '是有点太坑人', '感觉有点上当受骗的感觉']], [['开始投'], ['有24小时的超级会员往上累加', '有第三方担保公司兜', '兜底', '有保障', '值得投资'], ['利用每用', '用回款的利息', '投十几天', '累了资金'], ['希望团贷能越办', '办越']], [['是禁止网贷与金交所的合约', '禁止网贷']], [['发现股东结构变']], [['希望尽快推进', '推进银行存管', '推出多种活动']], [['关注最早的平台之一', '有一定的运营能力', '变成T', '想减免', '提现劵']], [['提供相关服务', '说明平台的诚意']], [['提现收费', '是指', '收利息', '还是连本金也收费']], [['提现了2000元大概2个小时']], [['还有活动', '搞点力度再大点']], [['见证了团贷网的成长', '继续团贷网']], [['有必要创新能力']], [['突破300亿', '有一定的品牌实力', '帮我处理', '处理问题']], [['鼓励买智享', '是要出事']], [['现有手续费', '希望能过', '过备案']], [['成了余军', '公告上一声']], [['知道要不要退出']], [['有资金', '有标吧', '看见标']], [['没问题']], [['感觉还可以，利率算', '算大平台最高', '希望稳打稳扎地前行']], [['控制现金贷']], [['合规']], [['获得了C轮投资', '听说和微贷网接盘', '接盘了四达', '推荐重仓', '链接注册', '有100红包http://www.tuandai.com/r/regad/index.html']], [['是越来越差', '是摆设没有', '没有十天半月抢'], ['存管', '没有存管'], ['是网上最次的银行建议', '建议团贷网另寻好的银行如江西、华兴···都比厦门好']], [['是很满意'], ['玩理财'], ['复制链接', '交个朋友']], [], [['充不了值', '打客服']], [['适合短期投资', '推荐投资', '投资这个平台']], [], [['是我接触过前一百名的平台最高费用的一家', '接触过前一百名的平台最高费用'], ['感觉充值']], [], [], [['搞啥']], [['还是很流畅'], ['表扬一下客服']]]","['红包包小', '需求不同', '团贷稳健', '团贷网大', '小主安心', '手续费高', '资金累', '平台早', '力度大', '能力必要', '平台大', '银行次', '团贷网好', '平台最高', '平台最高']"
146,好车贷,"[[['拿了个小米电视']], [['看看后期表现']], [['就是标']], [['办理了抵押公证']], [['是安徽第一家跟', '跟银行']], [['提现5元'], ['沒多投']], [['存管', '算是高', '高了一个层次']], [['希望平台越来越好']], [['逾过期', '无债权']], [['听朋友介绍', '关注这个平台']], [['留差评', '是醉']], [['投资好车贷', '看到好车贷入围互联网金融平台30强海选', '充满信心']], [['投完一个月的标', '到账'], ['选择这里']], [['希望越来越好']], [['有托管', '排不进前100']], [['投资了不同月标']]]","['层次高', '平台好', '好车贷强', '月标不同']"
147,花生米富,"[[['是冲着高利率去', '冲着高利率', '有钱', '投红包'], ['获千万融资', '见实际的东西'], ['说是与江西银行签订', '签订协议', '见披露', '披露真实合同']], [['改了版', '没有苹果app']]]","['利率高', '东西实际', '合同真实']"
148,米金社,"[[], [['持续关注', '希望越来越好']]]",[]
149,和信贷,"[[['需要3天']], [['看好平台', '让人失望', '有问题']], [['有很多和信贷的托在发表', '是被骗', '骗了几百元', '充了15万', '坑了450元', '开始投资', '扣手续费', '投你们', '觉得不稀奇', '是3年以上', '持有3年', '是坑']], [['搞活动官网', '等于没搞', '充多少钱', '是零', '问客服客服说', '说就是', '就是这样', '说活动很多人都是', '是这样', '搞不起活动']], [['得5天'], ['损失一个点的收益']], [['是一个坑爹的平台', '看到以前评论里大家都说', '说提现困难', '骗了钱', '是坑', '就是传说', '追求那种虚假的高收益', '投正规平台']], [['打不开APP', '显示超时']], [], [], [], [['投资P2P很长时间']], [['算高']], [['买VIP', '减免利息']], [['还是秒标', '有那么快能投上的官方']], [['新手充&不可描述词不可描述词ash'], ['投新手标', '投限5000', '无红包'], ['投其它标', '有15元'], ['是要授权', '授权复投', '不知一月到期']], [], [['觉得标的数据还要更透明']], [['希望更上一层楼']], [['没动静'], ['算是有', '有信心']], [['体现手续费', '要千分之3'], ['有活动', '买不到3月期的产品', '有返现', '要千分之3的体现费']], [['想参加', '参加网贷之家返利活动', '没有办法', '见底', '知道怎么办', '推荐和信贷返利活动']], [['有个帖子说', '说不能提', '提现', '知道客服发现', '发现没有'], ['注意回复']], [['接触过这个网站', '是前天从网贷之家跳', '注意没有', '没有输入', '输入手机号', '看到这个平台', '显示我已经是', '是老客户', '注册过这个网站']], [['就是利率低']], [['是唯一增收之道', '是成交量的下降']], [['减少资金站岗时间', '赚退出', '想退出', '退出再设置', '继续持有']], [['是在国外上市', '上一个台阶']], [['综合收益偏低']], [], [['打不开app']], [['参与1年']], [], [['站岗一个多星期', '问客服还爱理', '理各种敷衍']], [['算大一点的平台', '是一家有', '有担当', '担当可持续发展的平台']], [['感觉还可以']], [['是个老平台', '上过天眼和之家的排行榜', '是无庸量疑'], ['提取要', '要5天'], ['引起了不少投友的抱怨', '希望平台重视']], [['投了十几了平台']], [['让兜底', '保护投资者权利']], [['是很安全', '提示风险里弟三条如果违约不还款']], [['加点仓']], [['能绑定卡', '知道怎么回事', '找到客服']], [['是一个干大事的精干业务团队', '干大事'], ['值得信赖']], [['是大平台']], [['算靠', '是我的重仓平台']], [['回款', '加大投资']]]","['人失望', '收益虚假', '平台正规', '时间长', '官方快', '标的透明', '客户老', '利率低', '收益低', '平台大', '平台老', '大事精干', '平台大']"
150,宇商有财,"[[['想咨询', '开通存管'], ['没人应答']]]",[]
151,365易贷,"[[['是最快']], [['有些老式', '够时尚']], [['有点闲钱']], [['提高了注册资金', '是实缴', '实缴资金']], [['逾期7天', '值得称赞']]]",[]
152,闽投网,"[[['到卡', '联系客服']]]",[]
153,零用贷,"[[['有保险', '汇付天下'], ['重信金融', '是做', '做小额贷款业务']], []]",[]
154,菜牛钱袋,[[['请交流']]],[]
155,蜂硕金融,"[[['没有逾期', '是名气不响亮']]]",['名气响亮']
156,火球,"[[['建议改进', '说，根据银行要求，目前提现最快需要', '需要T'], ['是秒到', '是实时到', '到账', '是如果当日17点前提现', '到账'], ['是逆', '逆潮流']]]",['银行快']
157,爱钱进,"[[['是多做', '做些加息活动']], [['是它的品牌和台子大', '是头部平台里中规中矩'], ['希望平台朝着合规的方向前进', '合规'], ['让投资者放心']], [['到账', '点退出', '点提现', '忙工作', '到账', '赞一个']], [['是不错', '就是利率有点低']], [], [], [['投这个平台', '希望平台能一直稳健的发展']], [['是收益太低']], [['解绑个银行卡这么麻烦', '绑个银行卡']], [['感觉可以', '算高']], [], [['是如何运作', '降低了风险', '有无', '无抵押'], ['投个1万元'], ['看了几项目', '有待明确']], [['有个问题', '做了很多动作', '植入电视剧《老九门', '做《那年花开月正圆》的电视剧植入', '开月正圆', '知道热播电视剧伴随的都是', '是高流量的引入', '是可能', '是不遗余力', '隐藏超高的运营成本', '覆盖各项成本', '包括运营成本'], ['有无', '无断裂隐患']], [['说爱钱进的提现速度超']]]","['品牌大', '利率低', '平台稳健', '收益低', '银行卡麻烦', '电视剧老']"
158,投巴巴,[[['属于中等偏上水平']]],['水平偏']
159,合家金融,"[[['上线']], [['是银行不良资产处理'], ['看到借', '借什么款'], ['还有你用', '用哪只垢眼看到的4个借款人', '垢眼'], ['靠点谱']]]",['银行不良']
160,银豆网,"[[['没银豆', '问过客服', '有问题']], [['没有之一']], [['希望保持', '保持收益高提现快客服服务']], [['投了银豆'], ['就是为什么之家银豆经常预警'], ['知道投友们怎么看']], [['超过了86.13%的平台'], ['提高几名']], [['期待下次的投资人见面会', '想了解', '了解一下王总对近段时间监管政策的看法', '合规']], [['提前还款', '还款大额标的', '有小半年', '拿牌照']], [['提前还款'], ['没钱', '收到回款']], [['是我体验', '体验最好的一家']], [['是不错']], [['注册了银豆网', '感觉还可以，安全']], [['是我投资体验最好的平台', '希望银豆早日完成', '完成备案', '带领豆粉']], [], [['让这新系统搞'], ['换个银行卡', '充值了点钱', '提不到帐', '让江西银行撤消冲', '少了提现的钱']], [['是水军'], ['有人告诉', '告诉我，标的为什么那么少']], [['有银豆', '兑换实物']], [['是个好平台', '是还利息的日子', '还利息', '到账', '合规', '继续加仓']], [['还是挺方便', '没有什么额度的限制', '适合小额']], [['是在银豆换']], [['成交了100万', '显示昨天成交可不是', '是这个数']], [['排名35名'], ['还有，以前每个个贷标的都是', '是20万', '受到不少人的质疑', '还是20万']], [['希望继续']], [['还是杠杠滴', '收费用', '没有什么管理费', '有缩水']], [['还有积分奖励']], [['回款准时提现秒', '没有手续费']], [['卯足了劲', '完成百分之八九十']], [['入手投资', '投资银豆', '还有大米收']], [['看了很多的对网站的评价', '是最好', '不不好'], ['说明银豆网在各方面都不错', '相信你银豆网', '合规']], [['听说整改要延期', '合规']]]","['收益高', '时间近', '平台好', '系统新', '标的少', '平台好', '款准时', '银豆网不错']"
161,乾坤袋,"[[['还是很靠谱', '是鸿坤地产', '是他们的业主', '投这个平台']]]",[]
162,酒掌柜,"[[['发公告', '在和平的直属二级单位名单里']]]",[]
163,钱贷网,"[[], [['出现一次差错帐', '是很准时', '有什么小疑问客服都能及时热情地给予', '给予满意解答', '见过平台老板他做事', '备案合法合规', '打造让人投资的放心平台这样平台', '让人投资', '值得大家关注']], [['值得推荐', '看到有', '有了进一步的发展', '要点个赞']]]","['疑问小', '合规合法']"
164,鼎信贷,"[[['是无意间接触', '开始确实感觉挺一般', '加大投资', '觉得还可以']], [['是很好'], ['是小金额的标的', '有弊', '在于消费贷小金额还是', '还是比较保险'], ['想投金额大', '方便自己管理', '是不可能'], ['还是分散', '分散多个平台']], [['观察观察', '看看一般化', '观察观察']]]","['感觉确实', '金额贷小', '金额大', '平台多']"
165,理财范,"[[['关联两次银行卡', '扣一元钱', '坑害投资人']], [], [['有感动', '有小问题']], [['上了存管', '是牛'], ['就是电子合同我沒法下载', '有谁知道', '知道不']], [['有老司机在']], [['是真']], [], [], [['是我投资以来感觉最好的平台', '回款', '体现秒', '是爽']], [], [['有闲钱']], [['心动平台的收益', '知道有', '有风险']], [['有高学历']], [], [['看网站介绍', '介绍很详细', '有投资经验', '有什么大差']], [['是从非你莫属开始'], ['感觉回款挺快', '回款']], [['感觉这个平台还是', '还是挺不错', '考虑试']], [['有兴趣']], [['信任这个平台']]]","['问题小', '司机老', '平台好', '学历高', '差大', '款快']"
166,超爱财,"[[['是趁早收摊']], [['做小额', '听说过有线上的超爱财', '没有与时俱进'], ['有个推荐活动', '感觉线上的收益更让', '让人开心', '管理我自己的账户', '是实时刷新'], ['摇几个超豆', '变成日常']]]",['人开心']
167,金盈所,"[[['关联企业融资', '有真实贸易往来', '有待考量']]]",[]
